Date,Payee,Category,Memo,Outflow,Inflow
14/02/2013,TAM CALL CEN GDS AMADE SAO PAULO SP COMPRA PARCELADA PRESTACAO 06 DE 06,,Data da compra: 2012-09-14,380.07,
22/01/2013,MAGAZINE LUIZA.COM FRANCA SP COMPRA PARCELADA PRESTACAO 05 DE 05,,Data da compra: 2012-09-22,33.98,
08/02/2013,LE POSTICHE VOTORANTIM SP COMPRA PARCELADA PRESTACAO 04 DE 08,,Data da compra: 2012-11-08,28.12,
01/02/2013,DROGARIA S PAULO 511 SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 03,,Data da compra: 2012-12-01,27.48,
02/02/2013,SUBMARINO SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 12,,Data da compra: 2012-12-02,5.34,
08/02/2013,EXTRA COM COMPRA PARCELADA PRESTACAO 03 DE 12,,Data da compra: 2012-12-08,12.74,
21/01/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,23.84,
22/01/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,27.28,
22/01/2013,INGRESSO PONTO COM RIO DE JANEIRO RJ Produtor de teatro e evento,,,78.6,
23/01/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,27.99,
23/01/2013,PARADISE CHALES CARAGUATATUBA SP Hotéis e Resorts,,,410.0,
24/01/2013,PARADISE CHALES CARAGUATATUBA SP Hotéis e Resorts,,,410.0,
25/01/2013,POSTO BANDEIRAS SAO PAULO SP Posto de abastecimento,,,60.56,
27/01/2013,PST EXTRA 2766 SAO PAULO SP Posto de abastecimento,,,54.44,
27/01/2013,MCDONALD S SVS SOROCABA SP Restaurante,,,19.5,
27/01/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
28/01/2013,EHG SOROCABA SP Hotéis e Resorts,,,135.6,
30/01/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,20.25,
30/01/2013,JC COMPETICOES COTIA SP Centro de serviços automotivos,,,106.0,
31/01/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,79.14,
01/02/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
01/02/2013,BARELLO SAO PAULO SP Restaurante,,,26.4,
01/02/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
01/02/2013,PAGAMENTO RECEBIDO - OBRIGADO,,,,3885.69
03/02/2013,POSTO LEISA SOROCABA SP Posto de abastecimento,,,25.01,
03/02/2013,EHG SOROCABA SP Hotéis e Resorts,,,157.8,
04/02/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,23.84,
05/02/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,26.48,
05/02/2013,35314369001 17.99 Libra Esterlina Serviços profissionais não especifica,,,60.71,
06/02/2013,"CRÉDITO REF VARIAÇÃO CAMBIAL- TAXA: 2,",,,,9.53
06/02/2013,"CRÉDITO REF VARIAÇÃO DE IOF - TAXA: 2,",,,,0.52
07/02/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,23.05,
08/02/2013,DROGARIA S PAULO 214 SAO PAULO SP Drogaria e farmácia,,,29.6,
08/02/2013,BARELLO SAO PAULO SP Restaurante,,,26.4,
09/02/2013,POSTO EXTRA LJ 2725 SAO PAULO SP Posto de abastecimento,,,59.41,
09/02/2013,TERRACE CALCADOS CAMPOS DO JORDAO SP Loja de calçados,,,140.0,
09/02/2013,SAFARI CAFE CAMPOS DO JORDAO SP Restaurante,,,139.84,
11/02/2013,AUT POSTO PERSEVERANCA ARUJA SP Posto de abastecimento,,,83.7,
11/02/2013,CARREFOUR LJ SPS SAO PAULO SP Mercearia e Supermercados,,,22.68,
11/02/2013,CARREFOUR LJ SPS SAO PAULO SP Mercearia e Supermercados,,,13.02,
11/02/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
13/02/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,27.36,
15/02/2013,COMPRA VIA PAGSEGURO SAO PAULO SP Lan house / Cyber café,,,26.2,
15/02/2013,COMPRA VIA PAGSEGURO SAO PAULO SP Lan house / Cyber café,,,308.0,
16/02/2013,IOF DESPESA EXTERIOR,,,3.87,
