Date,Payee,Category,Memo,Outflow,Inflow
03/08/2013,LE POSTICHE VOTORANTIM SP COMPRA PARCELADA PRESTACAO 05 DE 08,,Data da compra: 2012-11-08,28.12,
03/02/2013,SUBMARINO SAO PAULO SP COMPRA PARCELADA PRESTACAO 04 DE 12,,Data da compra: 2012-12-02,5.34,
03/08/2013,EXTRA COM COMPRA PARCELADA PRESTACAO 04 DE 12,,Data da compra: 2012-12-08,12.74,
02/19/2013,COLLINS 36 PLS SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 04,,Data da compra: 2013-01-19,44.99,
02/16/2013,AZULAO AUTO POSTO SAO PAULO SP Posto de abastecimento,,,77.0,
02/17/2013,MC SAO PAULO SP Hotéis e Resorts,,,273.0,
02/17/2013,35314369001 36.95 Dólar Norte-Americano Embalagens,,,75.75,
02/18/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
02/18/2013,POSTO QUINTA DO MARQUE SAO ROQUE SP Posto de abastecimento,,,79.41,
02/19/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,24.24,
02/19/2013,ADIDAS ECOMMERCE BARUERI SP Roupas esportivas,,,31.65,
02/20/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,29.51,
02/22/2013,IMPERATRIZ VILLA BAR SAO PAULO SP Bar e restaurante,,,37.56,
02/22/2013,RISOTTO MIX SOROCABA SP Restaurante,,,42.8,
02/23/2013,D & D SOROCABA SP Hotéis e Resorts,,,90.0,
02/23/2013,DI POLLINI SAO PAULO SP Loja de calçados,,,44.0,
02/23/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
02/23/2013,H3 SAO PAULO SP Lanchonete,,,48.8,
02/23/2013,ARACY MARQUES SAO PAULO SP Loja de calçados,,,63.2,
02/23/2013,HOPE ELDORADO SAO PAULO SP Loja de roupas unissex,,,36.0,
02/24/2013,T M COTIA SP Hotéis e Resorts,,,151.4,
02/24/2013,RAIA DROGASIL 058 Drogaria e farmácia,,,12.38,
02/24/2013,TEMAKERIA MAKIS PLACE SAO PAULO SP Restaurante,,,73.7,
02/24/2013,BARELLO SAO PAULO SP Restaurante,,,30.25,
02/24/2013,AUTO POSTO STA RITA SOROCABA SP Posto de abastecimento,,,16.95,
02/25/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,22.73,
02/26/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,20.17,
02/26/2013,CMD AUTOMOVEIS SAO PAULO SP Concessionária de veículos,,,561.79,
02/26/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,75.96,
02/27/2013,BARELLO SAO PAULO SP Restaurante,,,26.4,
02/28/2013,BOAMESA LEOPOLDINA SAO PAULO SP Restaurante,,,23.27,
03/01/2013,TEMAKERIA MAKIS PLACE SAO PAULO SP Restaurante,,,47.71,
03/01/2013,PAGAMENTO RECEBIDO - OBRIGADO,,,,3354.25
03/02/2013,SQUAT RESTAURANTE SAO PAULO SP Restaurante,,,67.3,
03/02/2013,RESTAURANTE KOZAKA SAO PAULO SP Restaurante,,,114.4,
03/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,15.94,
03/04/2013,PAYPAL *TREEBIANFOR 11.89 Dólar Norte-Americano Embalagens,,,24.61,
03/04/2013,PAYPAL *YDOMINSKY 13.90 Libra Esterlina Serviços profissionais não especifica,,,45.11,
03/05/2013,ST MARCHE ALTO DA LAPA SAO PAULO SP Mercearia e Supermercados,,,9.04,
03/05/2013,PAYPAL *WWWSAMMYDRE 56.96 Dólar Norte-Americano Embalagens,,,116.77,
03/06/2013,BOAMESA LEOPOLDINA SAO PAULO SP Restaurante,,,20.36,
03/06/2013,PAYPAL *MATHERSIMON 14.99 Libra Esterlina Serviços profissionais não especifica,,,48.2,
03/07/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,18.01,
03/07/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,61.37,
03/07/2013,AMAZON MKTPLACE PMTS 22.97 Dólar Norte-Americano Varejo pela internet,,,47.09,
03/07/2013,PAYPAL *ARTSMARTINT 19.07 Dólar Norte-Americano Embalagens,,,39.09,
03/07/2013,PAYPAL *PHOENIXLEAT 19.40 Dólar Norte-Americano Embalagens,,,39.77,
03/08/2013,PAYPAL *MATHERSIMON 1.75 Libra Esterlina Serviços profissionais não especifica,,,,5.62
03/09/2013,MOIP COM BR SAO PAULO SP Serviços financeiros e publicidade,,,52.1,
03/09/2013,R DE C ALVES RESTAU SOROCABA SP Restaurante,,,15.2,
03/10/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
03/10/2013,EMPORIUM DINIS SAO PAULO SP Loja de conveniência,,,129.9,
03/11/2013,CASA BAYARD Loja de artigos esportivos,,,66.6,
03/11/2013,FLIGHTFOX 39.00 Dólar Norte-Americano Loja de eletrônicos,,,79.56,
03/12/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,22.57,
03/12/2013,FLIGHTFOX 39.00 Dólar Norte-Americano Loja de eletrônicos,,,,79.56
03/13/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,17.54,
03/13/2013,LAVASECCO LEOPOLDIN SAO PAULO SP Lavanderia,,,18.0,
03/13/2013,DROGARIA S PAULO 214 SAO PAULO SP Drogaria e farmácia,,,60.31,
03/14/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,21.13,
03/14/2013,B2W VIAGENS INTERNET Agências de viagem e turismo,,,2683.81,
03/15/2013,MARIA PIMENTA SAO PAULO SP Restaurante,,,23.25,
03/15/2013,RESTAURANTE KOZAKA SAO PAULO SP Restaurante,,,113.3,
03/15/2013,POSTO EXTRA LJ 2725 SAO PAULO SP Posto de abastecimento,,,43.82,
03/15/2013,DROG ESTRELA SAO JOSE SAO PAULO SP Drogaria e farmácia,,,22.62,
03/16/2013,GIRAFFAS SAO PAULO SP Restaurante,,,15.3,
03/16/2013,PAYPAL *RAYLMARTIN 13.95 Libra Esterlina Serviços profissionais não especifica,,,44.77,
03/17/2013,EXPORT OSASCO SP Hotéis e Resorts,,,146.0,
03/18/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
03/18/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,22.02,
03/18/2013,POSTO EXTRA LJ 2725 SAO PAULO SP Posto de abastecimento,,,71.02,
03/19/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,24.0,
03/19/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,19.5,
03/20/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,27.28,
03/20/2013,IOF DESPESA EXTERIOR,,,30.34,
